,Sentence,Comparison,Score
0,Stone was a resident of Long Island for 19 years and passed away in 2019 at the age of 94.,"['In 2019, Stone died at the age of 94, having lived in Springfield for 19 years.']",refute
1,Stone was a resident of Long Island for 19 years and passed away in 2019 at the age of 94.,"['Having lived in Huntington for 19 years, Stone passed away at the age of 94 in 2019.']",refute
2,Stone was a resident of Long Island for 19 years and passed away in 2019 at the age of 94.,"['In 2019, Stone died at the age of 94, having lived in Houston for 19 years.']",refute
3,"It was also noted that Berkshire's cash holding has now hit $128 billion, as per his statement.",['Trump also mentioned that his cash holdings have reached $128 billion.'],support
4,"It was also noted that Berkshire's cash holding has now hit $128 billion, as per his statement.",['Buffett also said his cash holdings now stand at $128 billion.'],support
5,"It was also noted that Berkshire's cash holding has now hit $128 billion, as per his statement.","[""He stated that China's cash holdings have reached $128 billion.""]",support
6,"Additional destruction is anticipated due to the ongoing southward movement of the storm, which has already resulted in power outages for 230000 residences and establishments, and has also isolated towns from the rest of Europe.","[""The storm's southward movement is expected to cause additional damage, with 230000 homes and businesses already without power, and towns being separated from the rest of Europe.""]",refute
7,"Additional destruction is anticipated due to the ongoing southward movement of the storm, which has already resulted in power outages for 230000 residences and establishments, and has also isolated towns from the rest of Europe.","[""The storm's southward movement is expected to cause additional damage, with 230000 homes and businesses already without power, as well as towns isolated from the rest of Africa.""]",refute
8,"Additional destruction is anticipated due to the ongoing southward movement of the storm, which has already resulted in power outages for 230000 residences and establishments, and has also isolated towns from the rest of Europe.","[""The storm's southward movement is expected to cause additional damage, with 230000 homes and businesses already without power, as well as towns isolated from the rest of Asia.""]",refute
9,"Addressing the war's sixth anniversary, which has resulted in the deaths of more than 13000 people worldwide, Mr. Zelensky stated that Ukraine was not afraid of Russia.","['Speaking on the sixth anniversary of the war, which has claimed the lives of more than 13000 people worldwide, Mr. Zelensky stated that he was not afraid of Russia.']",neutral
10,"Addressing the war's sixth anniversary, which has resulted in the deaths of more than 13000 people worldwide, Mr. Zelensky stated that Ukraine was not afraid of Russia.","['Speaking on the sixth anniversary of the war, which has claimed the lives of more than 13000 people worldwide, Mr. Zelensky affirmed that Germany had no concerns about Russia.']",neutral
11,"Addressing the war's sixth anniversary, which has resulted in the deaths of more than 13000 people worldwide, Mr. Zelensky stated that Ukraine was not afraid of Russia.","['On the sixth anniversary of the war, which has claimed over 13000 lives worldwide, Mr. Zelensky stated that Ukraine was not afraid of Russia.']",neutral
12,"Addressing the war's sixth anniversary, which has resulted in the deaths of more than 13000 people worldwide, Mr. Zelensky stated that Ukraine was not afraid of Russia.","['Mr. Zelensky expressed his belief that Ukraine was not afraid of war, despite the fact that it has claimed over 13000 lives worldwide, on the sixth anniversary of the war.']",neutral
13,"Addressing the war's sixth anniversary, which has resulted in the deaths of more than 13000 people worldwide, Mr. Zelensky stated that Ukraine was not afraid of Russia.","[""Speaking on the sixth anniversary of the war, which has claimed over 13000 lives globally, Mr. Zelensky said: 'Ukraine is not afraid of peace.""]",neutral
